compound, mp-id, spacegroup, mineral-prototype
NaVO3,mp-19083,C2/c,None
NaVO3,mp-555665,Pnma,None
RbCaF3,mp-3654,Pm-3m,(Cubic) Perovskite
KMnCl3,mp-23049,Pnma,Orthorhombic Perovskite
KMnCl3,mp-567530,Pnma,None
CsCoCl3,mp-504708,P6_3/mmc,None
MnVO3,mp-1106224,P2_1/m,Orthorhombic Perovskite
CsCrI3,mp-580597,Pbcn,None
CsMgBr3,mp-29750,P6_3/mmc,None
LiNO3,mp-1094130,R-3m,None
LiNO3,mp-8180,R-3c,Calcite
RbCdBr3,mp-27400,Pnma,None
RbNO3,mp-13658,Pmmn,None
RbNO3,mp-5073,P3_1,None
RbNO3,mp-614951,P3_2,None
SrCoO3,mp-1281764,Amm2,(Cubic) Perovskite
SrCoO3,mp-505766,Pm-3m,(Cubic) Perovskite
CaMnO3,mp-1017467,Pm-3m,(Cubic) Perovskite
CaMnO3,mp-1188497,P6_3/mmc,(Cubic) Perovskite
CaMnO3,mp-19201,Pnma,Orthorhombic Perovskite
NiNF3,mp-1068795,Pm-3m,(Cubic) Perovskite
NiNF3,mp-1192886,P6_3/mmc,None
YScO3,mp-755165,Pnma,Orthorhombic Perovskite
AgPS3,mp-5470,C2/m,None
CuSeO3,mp-22414,Pnma,None
CuSeO3,mp-22688,Pbca,None
CuSeO3,mp-554440,P2_1/c,None
CuSeO3,mp-560049,P-1,None
WI3O,mp-28573,P4_2/mnm,None
RbAgF3,mp-7767,I4/mcm,(Cubic) Perovskite
BaGeS3,mp-1195469,P2_1/c,None
AgIO3,mp-1202188,Pbca,None
AgIO3,mp-27384,Pca2_1,None
AgBiO3,mp-23548,R-3,Ilmenite
AgNO3,mp-552185,R3c,Calcite
AgNO3,mp-638686,Pbca,None
AgNO3,mp-669466,P2_12_12_1,None
AgNO3,mp-8196,R3m,None
SrPSe3,mp-7198,P2_1/c,None
NaFeF3,mp-1078217,Cmcm,None
NaFeF3,mp-505066,Pnma,Orthorhombic Perovskite
NaCO3,mp-1188793,P2_1/c,None
CaTiO3,mp-1205364,Cmcm,Orthorhombic Perovskite
CaTiO3,mp-3442,I4/mcm,None
CaTiO3,mp-4019,Pnma,Orthorhombic Perovskite
CaTiO3,mp-556003,Imma,Orthorhombic Perovskite
CaTiO3,mp-5827,Pm-3m,(Cubic) Perovskite
PbCO3,mp-1105697,P2_1/c,None
PbCO3,mp-19893,Pnma,None
InBiO3,mp-545379,Pm-3m,(Cubic) Perovskite
InBiO3,mp-556892,Pna2_1,Orthorhombic Perovskite
InBiO3,mp-561102,Pnma,Orthorhombic Perovskite
BaClO3,mp-1080782,P4/nmm,None
BaCO3,mp-4559,R3m,None
BaCO3,mp-545643,P6_3/mmc,None
BaCO3,mp-5504,Pnma,None
CsScCl3,mp-27359,P6_3/mmc,None
SrSnO3,mp-12866,Imma,Orthorhombic Perovskite
SrSnO3,mp-12867,I4/mcm,None
SrSnO3,mp-2879,Pnma,Orthorhombic Perovskite
SrSnO3,mp-546973,Pm-3m,(Cubic) Perovskite
TlCoCl3,mp-567430,P6_3cm,None
TlCoCl3,mp-567620,Pbca,None
TlCoCl3,mp-569753,P6_3/mmc,None
VPS3,mp-1078971,C2/m,None
CsMnI3,mp-540609,P6_3/mmc,None
NbBr3O,mp-606393,P-42_1m,None
H3CS,mp-554676,P2_1/c,Indium
H3CS,mp-559204,P2_1/c,Indium
NaNO3,mp-4531,R-3c,Calcite
SrNbO3,mp-10339,Pnma,Orthorhombic Perovskite
SrNbO3,mp-7006,Pm-3m,(Cubic) Perovskite
MnCO3,mp-1078473,P-1,Calcite
MnCO3,mp-18814,Cc,Calcite
SnNF3,mp-1079200,R-3,None
SnNF3,mp-1080727,C2,None
LiBeH3,mp-1079676,C2,None
LiBeH3,mp-24342,Pnma,Orthorhombic Perovskite
LiBeH3,mp-24817,P-1,None
LiBeH3,mp-24818,P-1,None
LiBeH3,mp-570218,P2_1/c,None
LiBeH3,mp-977148,Cmcm,None
LiBeH3,mp-977298,C2/c,Esseneite
ZnSeO3,mp-4682,Pnma,None
ZnSeO3,mp-5338,Pbca,None
CsCdF3,mp-8399,Pm-3m,(Cubic) Perovskite
CdPSe3,mp-1079559,R-3,None
VCl3O,mp-22938,Pnma,Silicon tetrafluoride
SrVO3,mp-18717,Pm-3m,(Cubic) Perovskite
MnNF3,mp-1069166,Pm-3m,(Cubic) Perovskite
MnNF3,mp-1078939,Pbam,High-temperature superconductor
MnNiO3,mp-19331,R-3,Ilmenite
BaSeO3,mp-6989,P2_1/m,Potassium chlorate
CaTeO3,mp-17008,P2_1,None
CaTeO3,mp-2981,P-1,None
CaTeO3,mp-560097,P2_1/c,None
CaTeO3,mp-560656,P4_3,None
CaTeO3,mp-561374,P1,None
BaVO3,mp-1017465,Pm-3m,(Cubic) Perovskite
BaVO3,mp-19150,P-3m1,(Cubic) Perovskite
CoBiO3,mp-1188346,Pnma,Orthorhombic Perovskite
CoBiO3,mp-545522,P4mm,None
CaNCl3,mp-1106358,Pnma,None
MgNiH3,mp-1017629,Pm-3m,(Cubic) Perovskite
